gold_node_token,ud_node_token,ud_node_lemma,ud_node_upos,ud_node_xpos
time.n.08,time.n.08,begrijpen,VERB,WW|pv|verl|ev
person.n.01,person.n.01,mij,PRON,VNW|pr|pron|obl|vol|1|ev
speaker,speaker,mij,PRON,VNW|pr|pron|obl|vol|1|ev
male.n.02,gat.n.01,gat,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,graven,VERB,WW|pv|verl|ev
hole.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
time.n.08,time.n.08,gelukkig,ADJ,ADJ|vrij|basis|zonder
male.n.02,slot.n.01,slot,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,steken,VERB,WW|pv|verl|ev
key.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
lock.n.01,sleutel.n.01,sleutel,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,rechtshandig,ADJ,ADJ|vrij|basis|zonder
time.n.08,time.n.08,jong,ADJ,ADJ|vrij|basis|zonder
+,vrijgezel.n.01,vrijgezel,NOUN,N|soort|ev|basis|zijd|stan
beer.n.01,bier.n.01,bier,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,bestellen,VERB,WW|vd|vrij|zonder
door.n.01,deur.n.01,deur,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,dicht,ADJ,ADJ|vrij|basis|zonder
male.n.02,time.n.08,kijken,VERB,WW|pv|verl|ev
moon.n.01,maan.n.01,maan,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,female.n.02,London,PROPN,N|eigen|ev|basis|onz|stan
city.n.01,time.n.08,vliegen,VERB,WW|pv|verl|ev
city.n.01,female.n.02,Parijs,PROPN,N|eigen|ev|basis|onz|stan
now,London,London,PROPN,N|eigen|ev|basis|onz|stan
"""London""",now,,,
"""Parijs""",Parijs,Parijs,PROPN,N|eigen|ev|basis|onz|stan
company.n.01,time.n.08,werken,VERB,WW|pv|tgw|met-t
time.n.08,bedrijf.n.01,bedrijf,NOUN,N|soort|ev|basis|onz|stan
male.n.02,female.n.02,Sid,PROPN,SPEC|deeleigen
"""Sid Gregory""",Sid,Sid,PROPN,SPEC|deeleigen
location.n.01,time.n.08,zijn,VERB,WW|pv|tgw|ev
bus_stop.n.01,bushalte.n.01,bushalte,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,begrijpen,VERB,WW|pv|tgw|ev
guitar.n.01,time.n.08,gitaar,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,person.n.01,dit,PRON,VNW|aanw|pron|stan|vol|3o|ev
dawn.n.01,zonsopgang.n.01,zonsopgang,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,breken,VERB,WW|pv|tgw|met-t
"""Zhao""",Peking,Peking,PROPN,N|eigen|ev|basis|onz|stan
male.n.02,female.n.02,Peking,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,time.n.08,sterven,VERB,WW|pv|verl|ev
city.n.01,female.n.02,Zhao,PROPN,N|eigen|ev|basis|zijd|stan
"""Peking""",Zhao,Zhao,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,tafel.n.01,tafel,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,zitten,VERB,WW|pv|tgw|ev
table.n.02,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
"""Tom""",Mary,Mary,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,female.n.02,Mary,PROPN,N|eigen|ev|basis|zijd|stan
time.n.08,time.n.08,kopen,VERB,WW|pv|verl|ev
present.n.02,cadeau.n.01,cadeau,NOUN,N|soort|ev|dim|onz|stan
female.n.02,female.n.02,Tom,PROPN,N|eigen|ev|basis|zijd|stan
"""Mary""",Tom,Tom,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,time.n.08,zaaien,VERB,WW|pv|tgw|mv
time.n.08,person.n.01,wij,PRON,VNW|pers|pron|nomin|vol|1|mv
now,speaker,wij,PRON,VNW|pers|pron|nomin|vol|1|mv
mother.n.01,person.n.01,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
person.n.01,moeder.n.01,moeder,NOUN,N|soort|ev|basis|zijd|stan
refrigerator.n.01,koelkast.n.01,koelkast,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,leggen,VERB,WW|vd|vrij|zonder
person.n.01,time.n.08,hebben,VERB,WW|pv|tgw|met-t
time.n.08,inwoner.n.01,inwoner,NOUN,N|soort|mv|basis
country.n.02,female.n.02,Tsjetsjenië,PROPN,N|eigen|ev|basis|onz|stan
now,hoeveel,hoeveel,NOUN,TW|hoofd|prenom|stan
"""Tsjetsjenië""",Tsjetsjenië,Tsjetsjenië,PROPN,N|eigen|ev|basis|onz|stan
person.n.01,time.n.08,eten,VERB,WW|pv|tgw|ev
banana.n.01,banaan.n.01,banaan,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,ver,ADJ,ADJ|vrij|basis|zonder
very.r.01,heel.n.01,heel,ADJ,ADJ|vrij|basis|zonder
time.n.08,time.n.08,gratis,ADJ,ADJ|vrij|basis|zonder
"""Buenos Aires""",Argentinië,Argentinië,PROPN,N|eigen|ev|basis|onz|stan
city.n.01,female.n.02,Argentinië,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,time.n.08,hoofdstad,NOUN,N|soort|ev|basis|zijd|stan
capital.n.03,female.n.02,Buenos,PROPN,SPEC|deeleigen
state.n.04,Buenos,Buenos,PROPN,SPEC|deeleigen
time.n.08,time.n.08,door_werken,VERB,WW|pv|tgw|ev
male.n.02,person.n.01,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
"""Tom""",speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
male.n.02,time.n.08,melken,VERB,WW|pv|tgw|met-t
cow.n.01,koe.n.01,koe,NOUN,N|soort|mv|basis
male.n.02,time.n.08,ex_gedetineerde,NOUN,N|soort|ev|basis|zijd|stan
"""Bill""",now,,,
male.n.02,time.n.08,begaan,VERB,WW|vd|vrij|zonder
crime.n.01,misdaad.n.01,misdaad,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,female.n.02,Bill,PROPN,N|eigen|ev|basis|zijd|stan
book.n.02,boek.n.01,boek,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,kosten,VERB,WW|pv|tgw|ev
dollar.n.01,4,4,NOUN,TW|hoofd|prenom|stan
person.n.01,time.n.08,breken,VERB,WW|vd|vrij|zonder
glass.n.02,glas.n.01,glas,NOUN,N|soort|ev|basis|onz|stan
year.n.01,veertig,veertig,NOUN,TW|hoofd|prenom|stan
female.n.02,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem
time.n.08,time.n.08,oud,ADJ,ADJ|vrij|basis|zonder
measure.n.02,jaar.n.01,jaar,NOUN,N|soort|ev|basis|onz|stan
person.n.01,time.n.08,houden,VERB,WW|pv|tgw|ev
chocolate.n.02,chocolade.n.01,chocolade,NOUN,N|soort|ev|basis|zijd|stan
boy.n.01,water.n.06,water,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,springen,VERB,WW|pv|verl|ev
water.n.02,jongen.n.01,jongen,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,krijzen,VERB,WW|pv|tgw|ev
ice_cream.n.01,ijs.n.01,ijs,NOUN,N|soort|ev|basis|onz|stan
male.n.02,schouder.n.01,schouder,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,kloppen,VERB,WW|pv|verl|ev
shoulder.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
"""Roemenië""",Irak,Irak,PROPN,N|eigen|ev|basis|onz|stan
state.n.03,female.n.02,Irak,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,time.n.08,sturen,VERB,WW|pv|verl|ev
troop.n.05,female.n.02,Roemenië,PROPN,N|eigen|ev|basis|onz|stan
country.n.02,troep.n.01,troep,NOUN,N|soort|mv|basis
730,Roemenië,Roemenië,PROPN,N|eigen|ev|basis|onz|stan
"""Irak""",730,730,NOUN,TW|hoofd|prenom|stan
"""Ken""",now,,,
male.n.02,time.n.08,winnen,VERB,WW|vd|vrij|zonder
time.n.08,zijn.v.01,zijn,VERB,WW|pv|tgw|ev
chess.n.02,schaken.v.01,schaken,VERB,WW|inf|vrij|zonder
person.n.01,time.n.08,in_kopen,VERB,WW|pv|tgw|ev
entity.n.01,nieuw.a.01,nieuw,ADJ,ADJ|nom|basis|met-e|zonder-n|stan
male.n.02,lawaai.n.01,lawaai,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,klagen,VERB,WW|vd|vrij|zonder
noise.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
"""Jim""",now,,,
male.n.02,time.n.08,begeleiden,VERB,WW|pv|verl|ev
time.n.08,female.n.02,Jim,PROPN,N|eigen|ev|basis|zijd|stan
female.n.02,person.n.01,haar,PRON,VNW|pers|pron|obl|vol|3|getal|fem
piano.n.01,piano.n.01,piano,NOUN,N|soort|ev|basis|zijd|stan
now,Jim,Jim,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,time.n.08,kennen,VERB,WW|pv|tgw|ev
person.n.01,time.n.08,willen,VERB,WW|pv|tgw|ev
entity.n.01,person.n.01,iets,PRON,VNW|onbep|pron|stan|vol|3o|ev
sweet.a.01,zoets.a.01,zoets,ADJ,ADJ|postnom|basis|met-s
war.n.01,oorlog.n.01,oorlog,NOUN,N|soort|ev|basis|zijd|stan
quantity.n.01,ongeveer.r.01,ongeveer,ADV,BW
year.n.01,twee,twee,NOUN,TW|hoofd|prenom|stan
"""Kanchenjunga""",now,,,
now,8.586,8.586,NOUN,TW|hoofd|prenom|stan
mountain.n.01,time.n.08,hoog,ADJ,ADJ|vrij|basis|zonder
time.n.08,meter.n.01,meter,NOUN,N|soort|ev|basis|zijd|stan
measure.n.02,kanchen_junga.n.01,kanchen_junga,NOUN,N|soort|mv|basis
uncle.n.01,female.n.02,Spanje,PROPN,N|eigen|ev|basis|onz|stan
speaker,Spanje,Spanje,PROPN,N|eigen|ev|basis|onz|stan
person.n.01,oosten.n.01,oosten,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,leven,VERB,WW|pv|tgw|met-t
east.n.05,oom.n.01,oom,NOUN,N|soort|ev|basis|zijd|stan
country.n.02,person.n.01,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
"""Spanje""",speaker,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
person.n.01,time.n.08,betalen,VERB,WW|pv|verl|ev
5,vijf,vijf,NOUN,TW|hoofd|prenom|stan
wolf.n.01,kippenhok.n.01,kippenhok,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,gaan,VERB,WW|pv|verl|ev
henhouse.n.01,wolf.n.01,wolf,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,strijden,VERB,WW|pv|verl|ev
prize.n.01,prijs.n.01,prijs,NOUN,N|soort|ev|basis|zijd|stan
1,één.a.01,één,ADJ,TW|rang|prenom|stan
person.n.01,time.n.08,doen,VERB,WW|pv|tgw|ev
person.n.01,dief.n.01,dief,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,rennen,VERB,WW|pv|verl|ev
mine.n.01,milieu.n.01,milieu,NOUN,N|soort|ev|basis|onz|stan
wastewater.n.01,gevaar.n.01,gevaar,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,vormen,VERB,WW|pv|tgw|met-t
hazard.n.01,afval_water.n.01,afval_water,NOUN,N|soort|ev|basis|onz|stan
environment.n.02,mijn.n.01,mijn,NOUN,N|soort|mv|basis
sock.n.01,sok.n.01,sok,NOUN,N|soort|mv|basis
time.n.08,time.n.08,paars,ADJ,ADJ|vrij|basis|zonder
female.n.02,tennis.n.01,tennis,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,slecht,ADJ,ADJ|vrij|basis|zonder
pretty.r.01,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem
tennis.n.01,best.n.02,best,ADJ,ADJ|vrij|basis|zonder
diary.n.01,dag_boek.n.01,dag_boek,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,stinken,VERB,WW|pv|tgw|mv
continent.n.01,Europees.a.01,Europees,ADJ,ADJ|prenom|basis|met-e|stan
time.n.08,time.n.08,verkopen,VERB,WW|vd|vrij|zonder
country.n.02,female.n.02,Rusland,PROPN,N|eigen|ev|basis|onz|stan
"""Rusland""",Rusland,Rusland,PROPN,N|eigen|ev|basis|onz|stan
speaker,Japan,Japan,PROPN,N|eigen|ev|basis|onz|stan
person.n.01,female.n.02,Japan,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,time.n.08,terug_gaan,VERB,WW|vd|vrij|zonder
country.n.02,person.n.01,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
"""Japan""",speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
state.n.01,female.n.02,Chiapas,PROPN,N|eigen|ev|basis|onz|stan
"""Chiapas""",Chiapas,Chiapas,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,time.n.08,openen,VERB,WW|pv|verl|ev
eye.n.01,oog.n.01,oog,NOUN,N|soort|ev|basis|onz|stan
1,één,één,NOUN,TW|hoofd|prenom|stan
person.n.01,time.n.08,rond_kijken,VERB,WW|pv|verl|mv
movie.n.01,film.n.01,film,NOUN,N|soort|ev|basis|zijd|stan
"""Nancy""",now,,,
female.n.02,time.n.08,hebben,VERB,WW|pv|tgw|met-t
time.n.08,female.n.02,Nancy,PROPN,N|eigen|ev|basis|zijd|stan
now,Nancy,Nancy,PROPN,N|eigen|ev|basis|zijd|stan
boss.n.01,person.n.01,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
person.n.01,time.n.08,slapen,VERB,WW|vd|vrij|zonder
person.n.01,baas.n.01,baas,NOUN,N|soort|ev|basis|zijd|stan
visa.n.01,visum.n.01,visum,NOUN,N|soort|ev|basis|onz|stan
?,Noord-Korea,Noord-Korea,PROPN,N|eigen|ev|basis|onz|stan
person.n.01,female.n.02,Noord-Korea,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,time.n.08,president,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,person.n.01,wie,PRON,VNW|vb|pron|stan|vol|3p|getal
"""Everglades""",now,,,
now,75,75,NOUN,TW|hoofd|prenom|stan
park.n.01,time.n.08,breed,ADJ,ADJ|vrij|basis|zonder
time.n.08,kilo_meter.n.01,kilo_meter,NOUN,N|soort|ev|basis|zijd|stan
measure.n.02,everglade.n.01,everglade,NOUN,N|soort|mv|basis
person.n.01,time.n.08,bestellen,VERB,WW|vd|vrij|zonder
pizza.n.01,pizza.n.01,pizza,NOUN,N|soort|ev|basis|zijd|stan
male.n.02,lommerd.n.01,lommerd,NOUN,N|soort|ev|basis|zijd|stan
pawnshop.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
"""Cisco""",Infogear,Infogear,PROPN,SPEC|deeleigen
now,Cisco,Cisco,PROPN,N|eigen|ev|basis|onz|stan
company.n.01,female.n.02,Infogear,PROPN,SPEC|deeleigen
time.n.08,female.n.02,Cisco,PROPN,N|eigen|ev|basis|onz|stan
company.n.01,time.n.08,over_nemen,VERB,WW|vd|vrij|zonder
"""Infogear Technology Corp""",now,,,
male.n.02,time.n.08,lopen,VERB,WW|pv|verl|ev
street.n.01,straat.n.01,straat,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,oversteken,VERB,WW|vd|vrij|zonder
time.n.08,time.n.08,persoonlijk,ADJ,ADJ|vrij|basis|zonder
female.n.02,time.n.08,kluns,NOUN,N|soort|ev|basis|zijd|stan
bicycle.n.01,fiets.n.01,fiets,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,blauw,ADJ,ADJ|vrij|basis|zonder
"""Allan Chapman""",River,River,PROPN,SPEC|deeleigen
now,Allan,Allan,PROPN,SPEC|deeleigen
male.n.02,female.n.02,River,PROPN,SPEC|deeleigen
time.n.08,female.n.02,Allan,PROPN,SPEC|deeleigen
agency.n.01,time.n.08,werkzaam,ADJ,ADJ|vrij|basis|zonder
"""River Forecast Centre""",now,,,
school.n.03,school.n.02,school,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,vervelen,VERB,WW|pv|tgw|met-t
2,drie,drie,NOUN,TW|hoofd|prenom|stan
tea.n.01,koffie.n.01,koffie,NOUN,N|soort|mv|basis
coffee.n.01,twee,twee,NOUN,TW|hoofd|prenom|stan
entity.n.01,thees.n.01,thees,NOUN,N|soort|ev|basis|stan
hare.n.01,oor.n.01,oor,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,bloeden,VERB,WW|pv|tgw|met-t
ear.n.01,haas.n.01,haas,NOUN,N|soort|ev|basis|zijd|stan
cat.n.01,tafel.n.01,tafel,NOUN,N|soort|ev|basis|zijd|stan
location.n.01,kat.n.01,kat,NOUN,N|soort|ev|basis|zijd|stan
man.n.01,aansteker.n.01,aansteker,NOUN,N|soort|ev|basis|zijd|stan
cigarette.n.01,man.n.01,man,NOUN,N|soort|ev|basis|zijd|stan
lighter.n.02,sigaret.n.01,sigaret,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,linkshandig,ADJ,ADJ|vrij|basis|zonder
male.n.02,poll.n.01,poll,NOUN,N|soort|mv|basis
time.n.08,time.n.08,allergisch,ADJ,ADJ|vrij|basis|zonder
pollen.n.01,person.n.01,hij,PRON,VNW|pers|pron|nomin|vol|3|ev|masc
quantity.n.01,veel.n.01,veel,PRON,VNW|onbep|grad|stan|vrij|zonder|comp
time.n.08,time.n.08,yen,NOUN,N|soort|ev|basis|zijd|stan
measure.n.02,10.000.n.01,10.000,NUM,TW|hoofd|prenom|stan
"""Maria""",now,,,
female.n.02,time.n.08,roken,VERB,WW|pv|verl|ev
time.n.08,female.n.02,Maria,PROPN,N|eigen|ev|basis|zijd|stan
cigar.n.01,sigaar.n.01,sigaar,NOUN,N|soort|ev|basis|zijd|stan
now,Maria,Maria,PROPN,N|eigen|ev|basis|zijd|stan
"""Belknap""",Carrie,Carrie,PROPN,SPEC|deeleigen
now,Belknap,Belknap,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,female.n.02,Carrie,PROPN,SPEC|deeleigen
time.n.08,female.n.02,Belknap,PROPN,N|eigen|ev|basis|zijd|stan
female.n.02,time.n.08,trouwen,VERB,WW|vd|vrij|zonder
"""Carrie Tomlinson""",now,,,
girl.n.01,meisje.n.01,meisje,NOUN,N|soort|ev|dim|onz|stan
time.n.08,time.n.08,eenzaam,ADJ,ADJ|vrij|basis|zonder
reason.n.01,time.n.08,gaan,VERB,WW|pv|verl|ev
time.n.08,waarom.r.01,waarom,ADV,BW
female.n.02,female.n.02,Jane,PROPN,N|eigen|ev|basis|zijd|stan
"""Jane""",Jane,Jane,PROPN,N|eigen|ev|basis|zijd|stan
bird.n.01,vogel.n.01,vogel,NOUN,N|soort|ev|basis|zijd|stan
wing.n.01,vleugel.n.01,vleugel,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,breken,VERB,WW|vd|vrij|zonder
person.n.01,time.n.08,kopen,VERB,WW|pv|verl|ev
camera.n.01,fototoestel.n.01,fototoestel,NOUN,N|soort|ev|basis|onz|stan
30,dertig,dertig,NOUN,TW|hoofd|prenom|stan
"""Accardo""",now,,,
male.n.02,time.n.08,componeren,VERB,WW|pv|verl|ev
time.n.08,female.n.02,Accardo,PROPN,N|eigen|ev|basis|zijd|stan
capriccio.n.01,caprice.n.01,caprice,NOUN,N|soort|mv|basis
now,Accardo,Accardo,PROPN,N|eigen|ev|basis|zijd|stan
24,24,24,NOUN,TW|hoofd|prenom|stan
"""Ibrahim Sofu""",Metin,Metin,PROPN,SPEC|deeleigen
now,Ibrahim,Ibrahim,PROPN,SPEC|deeleigen
male.n.02,female.n.02,Metin,PROPN,SPEC|deeleigen
time.n.08,female.n.02,Ibrahim,PROPN,SPEC|deeleigen
male.n.02,time.n.08,vermoorden,VERB,WW|vd|vrij|zonder
"""Metin Kaplan""",now,,,
location.n.01,time.n.08,werken,VERB,WW|pv|tgw|met-t
male.n.02,female.n.02,Raymond,PROPN,SPEC|deeleigen
"""Raymond Pettibon""",Raymond,Raymond,PROPN,SPEC|deeleigen
now,hearer,jou,PRON,VNW|pers|pron|obl|vol|2v|ev
hearer,speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
person.n.01,time.n.08,geven,VERB,WW|inf|vrij|zonder
time.n.08,person.n.01,jou,PRON,VNW|pers|pron|obl|vol|2v|ev
"""Jezus""",now,,,
time.n.08,female.n.02,Jezus,PROPN,N|eigen|ev|basis|zijd|stan
ab.n.03,buikspier.n.01,buikspier,NOUN,N|soort|mv|basis
now,Jezus,Jezus,PROPN,N|eigen|ev|basis|zijd|stan
steel.n.01,staal.n.01,staal,NOUN,N|soort|ev|basis|onz|stan
female.n.02,aardappel_alade.n.01,aardappel_alade,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,houden,VERB,WW|pv|tgw|met-t
potato_salad.n.01,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|ev|fem
bird.n.01,boom.n.01,boom,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,zingen,VERB,WW|pv|verl|ev
tree.n.01,vogel.n.01,vogel,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,person.n.01,haar,PRON,VNW|pers|pron|obl|vol|3|getal|fem
time.n.08,time.n.08,staren,VERB,WW|pv|verl|mv
female.n.02,person.n.01,ze,PRON,VNW|pers|pron|stan|red|3|mv
"""Placebo""",Marilyn,Marilyn,PROPN,SPEC|deeleigen
musical_organization.n.01,female.n.02,Marilyn,PROPN,SPEC|deeleigen
time.n.08,time.n.08,werken,VERB,WW|pv|verl|ev
male.n.02,placebo.n.01,placebo,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,bezig,ADJ,ADJ|vrij|basis|zonder
"""Le Beau Serge""",Chabrol,Chabrol,PROPN,N|eigen|ev|basis|zijd|stan
now,Le,Le,PROPN,SPEC|deeleigen
movie.n.01,female.n.02,Chabrol,PROPN,N|eigen|ev|basis|zijd|stan
time.n.08,female.n.02,Le,PROPN,SPEC|deeleigen
male.n.02,time.n.08,regisseren,VERB,WW|vd|vrij|zonder
"""Chabrol""",now,,,
measure.n.02,time.n.08,kosten,VERB,WW|pv|tgw|ev
time.n.08,hoeveel,hoeveel,VERB,TW|hoofd|vrij
credit_card.n.01,creditcard.n.01,creditcard,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,roken,VERB,WW|pv|tgw|met-t
dog.n.01,hond.n.01,hond,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,gromen,VERB,WW|pv|verl|ev
fellow.n.01,onaangenaam.a.01,onaangenaam,ADJ,ADJ|prenom|basis|met-e|stan
person.n.01,person.n.01,wat,PRON,VNW|vb|pron|stan|vol|3o|ev
time.n.08,time.n.08,kerel,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,time.n.08,open_maken,VERB,WW|vd|vrij|zonder
speaker,Amerika,Amerika,PROPN,N|eigen|ev|basis|onz|stan
"""Amerika""",speaker,ik,PRON,VNW|pers|pron|nomin|vol|1|ev
person.n.01,female.n.02,Amerika,PROPN,N|eigen|ev|basis|onz|stan
time.n.08,time.n.08,geboren,VERB,WW|vd|vrij|zonder
cat.n.01,kat.n.01,kat,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,female.n.02,Tom.,PROPN,N|eigen|ev|basis|zijd|stan
male.n.02,time.n.08,bliezen,VERB,WW|pv|verl|ev
now,Tom.,Tom.,PROPN,N|eigen|ev|basis|zijd|stan
person.n.01,time.n.08,komen,VERB,WW|pv|verl|ev
person.n.01,broer.n.01,broer,NOUN,N|soort|ev|basis|zijd|stan
brother.n.01,person.n.01,je,PRON,VNW|bez|det|stan|red|2v|ev|prenom|zonder|agr
hearer,hearer,je,PRON,VNW|bez|det|stan|red|2v|ev|prenom|zonder|agr
person.n.01,hert.n.01,hert,NOUN,N|soort|ev|basis|onz|stan
deer.n.01,boogschutter.n.01,boogschutter,NOUN,N|soort|ev|basis|zijd|stan
male.n.02,time.n.08,doden,VERB,WW|vd|vrij|zonder
man.n.01,man.n.01,man,NOUN,N|soort|ev|basis|zijd|stan
cookie.n.01,tafel.n.01,tafel,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,time.n.08,liggen,VERB,WW|pv|tgw|met-t
location.n.01,koekje.n.01,koekje,NOUN,N|soort|ev|dim|onz|stan
member.n.01,club.n.03,club,NOUN,N|soort|ev|basis|zijd|stan
person.n.01,lid.n.01,lid,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,aanwezig,ADJ,ADJ|vrij|basis|zonder
person.n.01,time.n.08,zien,VERB,WW|pv|verl|ev
ufo.n.01,uicht_ufen.n.01,uicht_ufen,X,SPEC|afk
person.n.01,museum.n.01,museum,NOUN,N|soort|ev|basis|onz|stan
time.n.08,time.n.08,bezoeken,VERB,WW|pv|tgw|mv
museum.n.01,toerist.n.01,toerist,NOUN,N|soort|mv|basis
person.n.01,time.n.08,geven,VERB,WW|pv|verl|ev
dictionary.n.01,woord_boek.n.01,woord_boek,NOUN,N|soort|ev|basis|onz|stan
brother.n.01,person.n.01,mijn,PRON,VNW|bez|det|stan|vol|1|ev|prenom|zonder|agr
measure.n.02,time.n.08,veertig,NUM,TW|hoofd|vrij
"""year""",now,,,
person.n.01,time.n.08,uit_vinden,VERB,WW|vd|vrij|zonder
telephone.n.01,telefoon.n.01,telefoon,NOUN,N|soort|ev|basis|zijd|stan
time.n.08,person.n.01,wie,PRON,VNW|vb|pron|stan|vol|3p|getal
hay_fever.n.01,hooi_koorts.n.01,hooi_koorts,NOUN,N|soort|ev|basis|zijd|stan
"""Sita""",now,,,
female.n.02,time.n.08,glimlachen,VERB,WW|pv|verl|ev
time.n.08,female.n.02,Sita,PROPN,N|eigen|ev|basis|zijd|stan
now,Sita,Sita,PROPN,N|eigen|ev|basis|zijd|stan
"""Kate""",now,,,
time.n.08,female.n.02,Kate,PROPN,N|eigen|ev|basis|zijd|stan
cold.n.01,verkoudheid.n.01,verkoudheid,NOUN,N|soort|ev|basis|zijd|stan
now,Kate,Kate,PROPN,N|eigen|ev|basis|zijd|stan
female.n.02,time.n.08,schrijven,VERB,WW|pv|verl|ev
letter.n.01,brief.n.01,brief,NOUN,N|soort|ev|basis|zijd|stan
egg.n.02,ei.n.01,ei,NOUN,N|soort|mv|basis
time.n.08,time.n.08,koken,VERB,WW|vd|vrij|zonder
person.n.01,time.n.08,rijden,VERB,WW|pv|tgw|ev
convertible.n.01,cabriolet.n.01,cabriolet,NOUN,N|soort|ev|basis|zijd|stan
shoe.n.01,time.n.08,schoen,NOUN,N|soort|mv|basis
"""David Vance""",South,South,PROPN,SPEC|deeleigen
male.n.02,female.n.02,South,PROPN,SPEC|deeleigen
city.n.01,female.n.02,David,PROPN,SPEC|deeleigen
"""South Portland""",David,David,PROPN,SPEC|deeleigen
"""Ebrodelta""",Ebrodelta,Ebrodelta,PROPN,N|eigen|ev|basis|zijd|stan
geographical_area.n.01,female.n.02,Ebrodelta,PROPN,N|eigen|ev|basis|zijd|stan
time.n.08,time.n.08,gebruiken,VERB,WW|vd|vrij|zonder
